id,equipment_id,person_id,verification_type,recognition_name,image_url,equipment_verification_id,add_time,update_time,operator_id,remark,recognition_type,temperature_val,signSimilar,qrCode
1004,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/ad646c76fc6a4cd5b693d1dd4b682306/20200811120453_20200807115423.jpg,20200807115423,2020-08-07 11:54:23,2020-08-11 12:04:53,1,,0,36.2℃,,
1005,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/b1de30aeeba54d0aadc928355ad72481/20200811120454_20200807115419.jpg,20200807115419,2020-08-07 11:54:19,2020-08-11 12:04:54,1,,0,36.5℃,,
1006,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/c762a43b30234977ad5887608eb29b17/20200811120454_20200807115417.jpg,20200807115417,2020-08-07 11:54:17,2020-08-11 12:04:54,1,,0,36.4℃,,
1007,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/32582967a9fe48a2af40775c89a0625e/20200811120454_20200807115407.jpg,20200807115407,2020-08-07 11:54:07,2020-08-11 12:04:54,1,,0,36.4℃,,
1008,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/776291f311b84dbc946f415e8cc9474a/20200811120454_20200807115351.jpg,20200807115351,2020-08-07 11:53:51,2020-08-11 12:04:54,1,,0,36.5℃,,
1009,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/c9e47d4aa00b4979bbb79396b1eca007/20200811120454_20200807115348.jpg,20200807115348,2020-08-07 11:53:48,2020-08-11 12:04:54,1,,0,36.3℃,,
1010,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/76a4f5a458e847049b763b8f2833e10f/20200811120454_20200807115345.jpg,20200807115345,2020-08-07 11:53:45,2020-08-11 12:04:54,1,,0,36.5℃,,
1011,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/5c45ac5752514fca94d0c94d9716d731/20200811120454_20200807115343.jpg,20200807115343,2020-08-07 11:53:43,2020-08-11 12:04:54,1,,0,36.4℃,,
1012,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/f52b6b330cd9461e92f6608f947cef31/20200811120454_20200807115342.jpg,20200807115342,2020-08-07 11:53:42,2020-08-11 12:04:54,1,,0,36.6℃,,
1013,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/03d7705e6e8b4b75a844faa47d99298b/20200811120455_20200807115338.jpg,20200807115338,2020-08-07 11:53:38,2020-08-11 12:04:55,1,,0,36.4℃,,
1014,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/dc8c17b086d44056849fd009f3fe64cb/20200811120455_20200807115335.jpg,20200807115335,2020-08-07 11:53:35,2020-08-11 12:04:55,1,,0,36.5℃,,
1015,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/6f93bb7dbf8d4dcb96ed74961d7a0e86/20200811120455_20200807115334.jpg,20200807115334,2020-08-07 11:53:34,2020-08-11 12:04:55,1,,0,36.4℃,,
1016,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/3f5826c1a4744cd0a022177cd29911c6/20200811120455_20200807115154.jpg,20200807115154,2020-08-07 11:51:54,2020-08-11 12:04:55,1,,0,36.5℃,,
1017,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/a933f946d5fd475da26e7f81d87a5f35/20200811120455_20200807115142.jpg,20200807115142,2020-08-07 11:51:42,2020-08-11 12:04:55,1,,0,36.4℃,,
1018,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/b59a2e2e8791493ca4f253277c11dc6f/20200811120455_20200807114957.jpg,20200807114957,2020-08-07 11:49:57,2020-08-11 12:04:55,1,,0,36.2℃,,
1019,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/8ff17232ce28488e83c5fa638b783557/20200811120455_20200807114948.jpg,20200807114948,2020-08-07 11:49:48,2020-08-11 12:04:55,1,,0,36.6℃,,
1020,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/1131c51ac8c04770bca728c45c62a526/20200811120455_20200807114946.jpg,20200807114946,2020-08-07 11:49:46,2020-08-11 12:04:55,1,,0,36.3℃,,
1021,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/0bc82443ac0044538404dd119d290cf9/20200811120519_20200807114939.jpg,20200807114939,2020-08-07 11:49:39,2020-08-11 12:05:19,1,,0,36.2℃,,
1022,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/3dc4f4db841b4359b414325ddaeebb72/20200811120519_20200807114943.jpg,20200807114943,2020-08-07 11:49:43,2020-08-11 12:05:19,1,,0,36.2℃,,
1023,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/5c90a9c7248f47d9aa7aaa806a472a13/20200811120519_20200807114934.jpg,20200807114934,2020-08-07 11:49:34,2020-08-11 12:05:19,1,,0,36.5℃,,
1024,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/d63de0df1ec94119aaccc5aa46e7f80c/20200811120519_20200807114932.jpg,20200807114932,2020-08-07 11:49:32,2020-08-11 12:05:19,1,,0,36.3℃,,
1025,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/390128814b414ccebf144eff7e68e4f0/20200811120520_20200807114929.jpg,20200807114929,2020-08-07 11:49:29,2020-08-11 12:05:20,1,,0,36.2℃,,
